"date","num","num2","str","str2"
"2014-01-15","309","449.235370","boy","green"
"2014-01-18","566","161.435112","boy","green"
"2014-02-21","443","236.593305","boy","red"
"2014-02-27","858","234.753483","girl","red"
"2014-03-12","594","130.675044","boy","red"
"2014-03-13","659","794.794405","girl","green"
"2014-03-26","49","183.898192","girl","yellow"
"2014-04-05","429","59.303599","girl","red"
"2014-04-11","972","4.630478","boy","red"
"2014-04-15","995","277.211552","boy","green"
"2014-05-08","585","317.356738","boy","green"
"2014-07-07","867","136.745451","boy","green"
"2014-10-24","264","837.542565","girl","blue"
"2014-10-29","234","166.368412","boy","purple"
"2014-11-16","159","88.140475","boy","purple"
"2014-12-18","761","346.797490","girl","red"
"2014-12-24","963","737.415089","girl","purple"
"2015-01-06","608","406.102953","girl","purple"
"2015-01-09","925","188.501380","girl","yellow"
"2015-01-17","835","182.556668","boy","blue"
"2015-02-08","724","145.674767","boy","yellow"
"2015-02-26","971","643.335505","boy","green"
"2015-03-04","898","940.998609","boy","green"
"2015-03-14","812","722.534233","boy","purple"
"2015-03-17","779","118.703149","girl","yellow"
"2015-04-20","716","652.912930","girl","red"
"2015-05-22","21","358.422098","boy","red"
"2015-06-04","855","378.435296","girl","green"
"2015-06-22","91","792.397244","boy","purple"
"2015-06-30","513","343.138119","girl","yellow"
"2015-07-06","954","53.706003","girl","green"
"2015-08-25","426","167.157198","girl","blue"
"2015-09-01","314","519.643952","boy","yellow"
"2015-09-15","522","257.246402","boy","blue"
"2015-09-17","670","501.335281","boy","blue"
"2015-10-15","107","917.583380","girl","blue"
"2015-10-27","813","572.642183","boy","purple"
"2015-12-13","664","726.022044","boy","yellow"
"2016-01-03","525","192.779033","boy","green"
"2016-02-27","601","711.561738","girl","yellow"
"2016-03-14","892","909.193272","boy","yellow"
"2016-03-20","307","611.334672","boy","blue"
"2016-03-26","753","373.405928","girl","purple"
"2016-04-05","259","338.532254","girl","purple"
"2016-04-18","503","820.664677","boy","purple"
"2016-04-27","55","80.838819","girl","yellow"
"2016-05-01","733","341.721285","boy","purple"
"2016-05-18","46","995.769952","boy","yellow"
"2016-06-05","891","311.243959","boy","blue"
"2016-06-08","403","903.529056","girl","yellow"
